symbol,name,profit,win,loss,trades,winRate
8306,三菱UFJ FG,-6000,0,2,2,0.000
3436,SUMCO,-5400,0,1,1,0.000
7011,三菱重工業,-900,0,1,1,0.000
6758,ソニーグループ,-900,0,1,1,0.000
6526,ソシオネクスト,0,0,0,0,0.000
6920,レーザーテック,0,0,0,0,0.000
6857,アドバンテスト,0,0,0,0,0.000
9107,川崎汽船,0,0,0,0,0.000
9984,ソフトバンクグループ,0,0,0,0,0.000
8035,東京エレクトロン,0,0,0,0,0.000
4568,第一三共,0,0,0,0,0.000
3778,さくらインターネット,0,0,0,0,0.000
5803,フジクラ,0,0,0,0,0.000
5016,JX金属,0,0,0,0,0.000
8316,三井住友FG,0,0,0,0,0.000
6723,ルネサスエレクトロニクス,0,0,0,0,0.000
7203,トヨタ自動車,0,0,0,0,0.000
285A,キオクシアHD,0,0,0,0,0.000
6976,太陽誘電,2800,1,1,2,0.500
